Grandeza,Medicao,Mediana_Pre,Mediana_Pos,Delta_Mediana,P95_Pre,P95_Pos,Delta_P95,Mes_Comparacao
Demanda,Demanda Reativa,634.559,609.599,0.9606655961069027,837.598,843.9339999999994,1.0075644879763317,Nov
Demanda,Demanda ativa Fora de Ponta,1680.9565,1819.436,1.0823813703685967,2373.595,2475.355,1.0428716777714817,Nov
Demanda,Demanda ativa de Ponta,1876.796,1988.636,1.0595909198442452,1977.596,2491.483,1.2598543888640552,Nov
Consumo,Consumo Reativo,158.64,152.4,0.9606656580937974,209.4,210.98399999999987,1.0075644699140394,Nov
Consumo,Consumo ativo Fora de Ponta,420.23900000000003,454.859,1.0823816923227019,593.399,618.839,1.0428716597095715,Nov
Consumo,Consumo ativo de Ponta,469.199,497.159,1.0595909198442452,494.399,622.871,1.2598548945285084,Nov
Demanda,Demanda Reativa,600.959,623.999,1.0383387219427616,795.838,859.3899999999999,1.0798554479680538,Dez
Demanda,Demanda ativa Fora de Ponta,1695.836,1805.756,1.064817588493227,2343.835,2557.627,1.0912146119500732,Dez
Demanda,Demanda ativa de Ponta,1895.996,2053.916,1.08329131496058,2022.62,2466.715,1.219564228574819,Dez
Consumo,Consumo Reativo,150.24,156.0,1.0383386581469647,198.96,220.32,1.1073582629674306,Dez
Consumo,Consumo ativo Fora de Ponta,423.959,450.479,1.0625532185895334,585.959,638.999,1.0905182785826313,Dez
Consumo,Consumo ativo de Ponta,473.999,512.759,1.0817723244141866,505.655,616.535,1.2192799438352235,Dez
Demanda,Demanda Reativa,533.119,539.999,1.0129051862717329,768.638,819.838,1.0666113306914307,Jan
Demanda,Demanda ativa Fora de Ponta,1571.997,1624.797,1.033587850358493,2251.675,2433.787,1.080878457148567,Jan
Demanda,Demanda ativa de Ponta,1787.996,1982.396,1.108725075447596,1924.092,2119.22,1.1014130301461675,Jan
Consumo,Consumo Reativo,133.68,138.0,1.0323159784560143,192.48,205.15199999999982,1.0658354114713209,Jan
Consumo,Consumo ativo Fora de Ponta,392.999,410.399,1.0442749218191394,562.919,608.7109999999999,1.0813474052217102,Jan
Consumo,Consumo ativo de Ponta,446.999,495.239,1.1079197045183544,481.023,531.917,1.1058036725894604,Jan
